"Category","File","UserVerdict","GameServerRisk","SHA256","DecompiledProject","Summary"
"Spam and chat abuse","AdminExploit.dll","Safe","Abuse: chat spam","8748E9EE12801AA92AFDF58A8CED85930B9795CC317540DC8878B477D2A777D6","AdminExploit__TextHelper__8748E9EE","Registers `TakeAdmin`; visible behavior is fast repeated `say` spam with an ASCII banner and config file creation, not actual admin privilege acquisition."
"Admin and permission bypass","AdminPatch.dll","Safe","Abuse: admin permission bypass","5956B7ADACB5A80F8466B21500A12C6B372CB66FF751C2A09DE513C226A77EB2","AdminPatch__AdminPatch__5956B7AD","Forces local admin checks such as `CanCommand`, `CanScript`, `CanAdminMenu`, `CanAdminPlace`, and `IsActive`; also replaces entity descriptions with admin descriptions."
"Spam and chat abuse","AdminSliver.dll","Safe","Abuse: mass admin actions/ahelp spam","F8831DE1DF18C9A64EAF546E30D44556ECBC73D4F85739DAB4C0E23F8E3313AB","AdminSliver__AdminSliver__F8831DE1","Registers mass-disruption commands such as `SlivBanAll`, `SlivKickAll`, `SlivKillAll`, `SlivAhelp`, and `SlivPlayerList`."
"Spam and chat abuse","AHelpBomber.dll","Safe","Abuse: ahelp spam","9940328D1EF70BB895350A51B1C05253253DA5C65BB7451DEC47851552D015CF","AHelpBomber__AhelpBomber__9940328D","`ahelpbomber` sends repeated ahelp messages with roughly 10 ms delay through `BwoinkSystem.Send`."
"Frameworks and inert","AhelpNot.dll","Safe","None/inert","3ABB56C2C64B2710E5853238B815C74C28648E9D5DBD8526FAB71D911543DB5D","AhelpNot__AhelpNot__3ABB56C2","Inert or incomplete Subverter metadata sample. No command, PatchAll, AHelp/Bwoink hook, popup/sound suppression, or runtime logic was found."
"Admin and permission bypass","Based.dll","Safe","Abuse: cheat framework/admin bypass/ESP","70B16B989143769DF97D7CA3A089D102FC7D151459E30BCDB79E2541967C58A4","Based__Based__70B16B98","Cheat framework with local admin bypass, assembly hiding through reflection paths, fullbright/subfloor/job overlay, visual bypasses, UI, and aimbot via predictive attack events."
"Admin and permission bypass","BBT.Ware.dll","Safe","Abuse: HUD/ESP/admin bypass/visual bypass","6D3B2690D4CF22E880F7A1A0991BADCD702CE877DCAE7B5EC0F8D4E979F4CFFF","BBT.Ware__BBT.Ware__6D3B2690","Cheat/HUD/ESP framework with local admin bypass, admin descriptions, status icons, name overlay, no-FOV/no-overlay, smoke/foam/fov controls, and menu UI."
"Network and exploit helpers","CMExploit.dll","Safe","Abuse: forged UI/network action","0114964124566E0EDA86D45F8460BD03A9F504A24861A8EDC7F9069247D2BF7F","CMExploit__CMExploit__01149641","`cmexploit` forges a xeno evolution UI message with a selected prototype id through reflected `SharedUserInterfaceSystem.SendUiMessage`."
"Admin and permission bypass","CommandPermissionPatch.dll","Safe","Abuse: command permission bypass","FA4C8C416B21499A9B86AD8287B2BD299EBABC915208584B97AE7CC82A95F69E","CommandPermissionPatch__CommandPermissionPatch__FA4C8C41","Postfixes `Robust.Client.Console.ClientConsoleHost.CanExecute` and forces command execution permission to true."
"Visual bypass","DODPatch.dll","Safe","Abuse: visual bypass","465FF6E59622C6C43CDAA7108C15910BC44B4A3510777BF00D16C8FD83AA85BD","DODPatch__DODPatch__465FF6E5","Blocks `Clyde.DrawOcclusionDepth`, disabling depth/occlusion rendering and related visual limitations."
